what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350257514633
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350257522909
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350257524423
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350257529046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350257543610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350257545468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259257604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259260085
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259271636
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259277400
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259279125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259280341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259285890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259295067
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259299684
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1350259299745
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259313790
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259321880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259323070
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259325388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259335706
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350259358220
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350259410122
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350259413024
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1350259438299
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1350259452950
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350259455780
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1350259457407
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1350259457858
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1350259458432
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1350259459487
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350259461638
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1350259569059
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350259645558
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350259645756
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1350259649477
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350259650754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259695665
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259703129
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259706107
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259715692
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259717722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259719280
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259781931
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259810223
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350259824758
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350259828705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259832844
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259852971
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259854864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350259859938
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350259877859
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350259891792
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350259932365
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350259954361
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350259962718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260007158
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260018448
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260020656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260022899
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350260025396
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350260031760
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350260048605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260049017
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260049846
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260051621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260054867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260067682
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260070767
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350260160962
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350260165283
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260221131
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260262329
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260275934
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1350260275996
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260279172
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350260293864
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1350260314354
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1350260319685
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350260320835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260322756
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260323868
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260325235
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260334068
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1350260350234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1350260350541
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1350260350939
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1350260351495
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350260352543
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1350260692283
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1350260696244
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350260697819
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1350260704829
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1350260707928
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1350260711579
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260714481
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260716054
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260718772
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260723812
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1350260742687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350260746951
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1350260753113
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350260756834
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260758412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260759426
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260762904
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260773733
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1350260797625
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350260803354
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1350260809220
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350260811927
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260816127
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260816979
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260819907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260839215
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260841770
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260843756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260846774
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260852430
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350260854991
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260857070
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350260862918
